x_m	y_m
-50.14277508981236	52.09997248573156
-49.75290515238785	52.02232946991356
-49.363030043779666	51.94470976420044
-48.97314729773098	51.867123472289556
-48.58325444798495	51.78958045920824
-48.19334918739808	51.71209058998384
-47.8034288906002	51.634663888757
-47.41349125044783	51.55731014099841
-47.02353372112745	51.48003929129203
-46.633553915938904	51.40286136377857
-46.24354944818206	51.32578614392866
-45.85351785160004	51.248823576326316
-45.463456580379365	51.17198368511218
-45.07336332737655	51.09527625575698
-44.68323562633474	51.018711312401315
-44.293071329223814	50.942297288052465
-43.90287298185727	50.8660275795066
-43.51264551674878	50.789886354986066
-43.12239418463869	50.71385746448638
-42.73212399759732	50.63792499667317
-42.34184012680837	50.56207296065536
-41.95154766389885	50.486285285985204
-41.56125178005242	50.410545981771634
-41.17095748733944	50.33483897756689
-40.780670036500254	50.25914836203657
-40.390394360048525	50.18345806473297
-40.00013578828128	50.107752094764955
-39.60989933326885	50.03201446124149
-39.21969008663824	49.95622909371483
-38.829503752329174	49.8804259850503
-38.43930659831271	49.80478071682304
-38.049058925809526	49.72949735189674
-37.65872087692694	49.6547798735784
-37.26825299155565	49.580832424288445
-36.877615332246286	49.507859146447174
-36.48676843888955	49.43606410291834
-36.095672453592755	49.36565143612228
-35.704287836689936	49.29682512936605
-35.31257473028839	49.22978932506996
-34.92049351516548	49.16474816565445
-34.52800457209852	49.101905634426494
-34.135068122751534	49.04146595336315
-33.74165496982588	48.983610273006576
-33.347797811113765	48.92838473622654
-32.95355193850222	48.87578600164281
-32.55897272343497	48.82581080743185
-32.16411545779906	48.778455732656745
-31.76903559259488	48.73371735638058
-31.373788419709463	48.691592496336526
-30.978414910828903	48.65206396828339
-30.58290862186276	48.615070593140416
-30.187253641476644	48.580541645026194
-29.79143397877947	48.54840671628598
-29.395433642880164	48.51859531970839
-28.99923664288767	48.49103688852534
-28.602827147024243	48.4656605377421
-28.206202291249692	48.442350273730874
-27.80938363542213	48.420905852348206
-27.41239560343987	48.401117721320034
-27.0152623805312	48.38277632837231
-26.618008311037748	48.36567204167427
-26.220657580187815	48.349595388508554
-25.823234532323024	48.33433673704441
-25.425763432228337	48.3196866941211
-25.028268624245396	48.30543562790791
-24.63077429360249	48.291373906574094
-24.233304784641234	48.277292136958934
-23.83588428258996	48.262980607675026
-23.438537211346922	48.248229925561624
-23.041285846780326	48.23284310829888
-22.644128756870057	48.21677695661386
-22.247048916488293	48.20009058111389
-21.850028823167214	48.18284476309637
-21.453051133552318	48.165100283858685
-21.056098424732433	48.14691816336831
-20.659153273796377	48.12835910336597
-20.262198337389673	48.109484044262445
-19.86521611304447	48.0903537673551
-19.468189257406284	48.07102913349803
-19.07110034756391	48.05157100354534
-18.673931960606208	48.03204031790777
-18.276666753178674	48.0124977783261
-17.879287222813478	47.993004325211054
-17.4817967904475	47.973691624854794
-17.084270955362463	47.954937094109326
-16.686801128174533	47.93717153235359
-16.28947832171647	47.920825898079805
-15.892393867047751	47.90633099066694
-15.495638936114469	47.89411760949385
-15.099305337316125	47.8845809125504
-14.703556400500373	47.8734776651785
-14.308697305061001	47.8473829972037
-13.915049937292967	47.79179229529915
-13.526172469351751	47.693253878691976
-13.157065789084204	47.542038841519194
-12.825258618033496	47.329240655236305
-12.547624767218892	47.04883107213538
-12.336847240848291	46.71319929363466
-12.203957764845512	46.341991680772765
-12.159887187274183	45.954831045813435
-12.204178295940308	45.56652407876719
-12.314439388167633	45.18260100257517
-12.465784261829132	44.80753656181107
-12.637795253951083	44.44460833224821
-12.825248355222817	44.09302305431002
-13.026145738496929	43.75112284650856
-13.238489497069306	43.417250145582564
-13.460281724235868	43.08974714960076
-13.689524672405845	42.766956136188554
-13.924226560738893	42.44722550883512
-14.163135883227676	42.12963909290556
-14.406433551744325	41.814703982627314
-14.654464683132032	41.50309020429199
-14.907574076007238	41.19546778419123
-15.166106688099795	40.89250682817335
-15.430407636252843	40.59487720341663
-15.700821719082876	40.303249015769374
-15.977693894319703	40.01829229152326
-16.26136927880648	39.74067705696989
-16.552192591603035	39.47107325884425
-16.850509029109173	39.21015108255132
-17.15666331038474	38.95858039526939
-17.471000631829522	38.71703130284675
-17.79380922726624	38.48611639165788
-18.124662672932928	38.26572308901189
-18.46264455552472	38.05524127479115
-18.80682875582282	37.85405136163408
-19.15628923416506	37.661533762179076
-19.51009987133263	37.47706857083787
-19.867334548106665	37.300036359362245
-20.227190378553292	37.12998230225834
-20.58966505552905	36.96752574821768
-20.95507712394861	36.81371612930074
-21.323745924293434	36.66960391180468
-21.69599079704495	36.53623964158336
-22.072131003127918	36.41467370537725
-22.452485883023765	36.30595664904024
-22.837176044647265	36.21059079339934
-23.225608631678632	36.12711126145291
-23.617031038000658	36.053612511793055
-24.010690577939517	35.98818876434185
-24.40583456582134	35.928934318578065
-24.801710236415605	35.87394347398046
-25.197566892965256	35.82132079283843
-25.59291661440089	35.77066451395842
-25.987807771179074	35.72461830555116
-26.38235428845412	35.68619672903233
-26.77666985271035	35.658414504930946
-27.170868229988702	35.644286115105984
-27.565063345443498	35.64682628008648
-27.95936013432513	35.668348348781024
-28.353805375956718	35.706442629151226
-28.748421743989788	35.756749495127785
-29.143231832519202	35.81490311522103
-29.538258156083128	35.87653781705458
-29.933523308776415	35.9372879282521
-30.32904988469392	35.99278769688053
-30.72481918801771	36.039967030967176
-31.120659376336267	36.08056241399191
-31.516363443189015	36.11742436151273
-31.91172406388871	36.15340346864429
-32.30653415241811	36.19135033050127
-32.700586384089995	36.23411554219831
-33.09367446845383	36.284541504512866
-33.48571733726084	36.3441243602187
-33.87689789129997	36.411528352792814
-34.267432445162406	36.485059482018166
-34.65753723388267	36.56302414546111
-35.04742865160861	36.643728342904595
-35.43732285381808	36.72547839235828
-35.82743122258857	36.80660654730689
-36.21778995620587	36.88636449769352
-36.608217904127834	36.965145492147926
-36.99852039117802	37.04341374385123
-37.388502821736736	37.121633545541314
-37.77797036151423	37.20026926951262
-38.16672841489076	37.27978520850301
-38.55470951780849	37.36036322906469
-38.942335161515686	37.44110044252706
-39.330144342465196	37.52083341211869
-39.718675977553204	37.5983985419548
-40.1084689041192	37.67263247482068
-40.500062118616036	37.742371614831534
-40.8939921512397	37.8064495020624
-41.29034738945283	37.86311692396588
-41.68824244705264	37.90935908045629
-42.08666416982112	37.94199481844678
-42.48459948309696	37.95784322352052
-42.88103523266215	37.9537232221473
-43.27495834385537	37.926453899910356
-43.66535295753175	37.872903110632734
-44.05110376870643	37.7917721712006
-44.43096826127605	37.6841028762339
-44.803695804356614	37.551089132709436
-45.16803560795089	37.39392532494402
-45.522736961618214	37.21380535991448
-45.866549154918026	37.01192354238096
-46.19819029119424	36.7894557995124
-46.51591998869006	36.54731313475993
-46.817649009641926	36.28620431851447
-47.101279365052356	36.0068333477666
-47.36471314548054	35.709904060393555
-47.60585236192898	35.39612029427257
-47.82260228722377	35.066187717084375
-48.013520320231414	34.72114072467836
-48.17861059789884	34.36274372492631
-48.31807185279272	33.99285921907655
-48.43210249925305	33.61334970837744
-48.520901269846505	33.22607753496397
-48.58466665846973	32.83290527964115
-48.62359731813274	32.43569536410067
-48.63789174273217	32.03631021003418
-48.627748505721364	31.63661231869003
-48.59336626011031	31.238464111759907
-48.53494357935236	30.84372809049214
-48.45267903690081	30.45426675613505
-48.34677112665233	30.071942450823684
-48.21755183859921	29.698490942027856
-48.06737835737633	29.33372200974479
-47.90018285105427	28.97594762050785
-47.7199390162864	28.623440360297785
-47.530620549726144	28.27447289465197
-47.336200909356805	27.92731780955114
-47.14065387138847	27.58024777053267
-46.947542142706936	27.231727174713512
-46.75731871900259	26.88167153290799
-46.569013963557026	26.530660495028354
-46.381650761324664	26.17927697281037
-46.194252076816575	25.828103957546517
-46.00584095410053	25.477724440529254
-45.81544035768763	25.128721413051046
-45.62229752234734	24.78153609641486
-45.426588188768115	24.43602290191088
-45.228728438344554	24.091884446699197
-45.029134113801234	23.74882334793981
-44.82822121697609	23.406542222792783
-44.62640582926369	23.0647437679748
-44.42410379338864	22.723130521089267
-44.22173119074551	22.381405178852873
-44.01970394361557	22.039270278868987
-43.818437974280045	21.696428517854322
-43.618349364133564	21.352582512968926
-43.41985403545734	21.00743480181616
-43.223367990089315	20.6606881606694
-43.02927835079548	20.312067005216825
-42.836709437287034	19.96225592062105
-42.643058871266	19.613252654472838
-42.44559952957265	19.267149547245936
-42.24160412993393	18.926038859857474
-42.02834578786016	18.592012932781188
-41.80309722107828	18.267164186047534
-41.56321730719102	17.953569685249267
-41.30746520078509	17.653058358719132
-41.035740819567124	17.367256901729647
-40.74797701770593	17.097786122359594
-40.444106808483674	16.84626690824445
-40.1240630460692	16.614320067462984
